agent,algorithm,status,patch,metrics_before,metrics_after,error_message
BaselineAware,find_in_sorted,PASS,"import bisect

def find_in_sorted(arr, x):
    index = bisect.bisect_left(arr, x)
    if index != len(arr) and arr[index] == x:
        return index
    return -1

""""""
Binary Search

Input:
    arr: A sorted list of ints
    x: A value to find

Output:
    An index i such that arr[i] == x, or -1 if x not in arr

Example:
    >>> find_in_sorted([3, 4, 5, 5, 5, 5, 6], 5)
    3
""""""",,,
BaselineNaive,find_in_sorted,PASS,"def find_in_sorted(arr, x):
    def binsearch(start, end):
        if start >= end:
            return -1
        mid = start + (end - start) // 2
        if x < arr[mid]:
            return binsearch(start, mid)
        elif x > arr[mid]:
            return binsearch(mid + 1, end)
        else:
            return mid

    return binsearch(0, len(arr))",,,
ArcaneAgent,flatten,PASS,"def flatten(arr):
    def _flatten(sub_arr):
        for x in sub_arr:
            if isinstance(x, list):
                yield from _flatten(x)
            else:
                yield x

    return _flatten(arr)

# Example usage:
# list(flatten([[1, [], [2, 3]], [[4]], 5])) -> [1, 2, 3, 4, 5]

""""""
Flatten

Flattens a nested list data structure into a single list.

Input:
    arr: A list

Precondition:
    The input has no list containment cycles

Output:
    A generator for the input's non-list objects

Example:
    >>> list(flatten([[1, [], [2, 3]], [[4]], 5]))
    [1, 2, 3, 4, 5]
""""""",,,
BaselineAware,flatten,PASS,"def flatten(arr):
    for x in arr:
        if isinstance(x, list):
            for y in flatten(x):
                yield y
        else:
            yield x

# Example usage
if __name__ == ""__main__"":
    example = [[1, [], [2, 3]], [[4]], 5]
    print(list(flatten(example)))",,,
BaselineNaive,flatten,PASS,"def flatten(arr):
    for x in arr:
        if isinstance(x, list):
            for y in flatten(x):
                yield y
        else:
            yield x



""""""
Flatten

Flattens a nested list data structure into a single list.


Input:
    arr: A list

Precondition:
    The input has no list containment cycles

Output:
    A generator for the input's non-list objects

Example:
    >>> list(flatten([[1, [], [2, 3]], [[4]], 5]))
    [1, 2, 3, 4, 5]
""""""",,,
ArcaneAgent,gcd,PASS,"import math

def gcd(a, b):
    """"""Calculate the greatest common divisor of two nonnegative integers.""""""
    if not isinstance(a, int) or not isinstance(b, int):
        raise TypeError(""Both a and b must be integers."")
    if a < 0 or b < 0:
        raise ValueError(""Both a and b must be nonnegative integers."")

    return math.gcd(a, b)

# Example usage:
# >>> gcd(35, 21)
# 7",,,
BaselineAware,gcd,PASS,"def gcd(a, b):
    if not (isinstance(a, int) and isinstance(b, int)):
        raise ValueError(""Both inputs must be integers."")
    if a < 0 or b < 0:
        raise ValueError(""Both inputs must be nonnegative integers."")
    if a == 0 and b == 0:
        raise ValueError(""At least one input must be non-zero."")
    
    while b != 0:
        a, b = b, a % b
    return a

# Example usage
if __name__ == ""__main__"":
    print(gcd(35, 21))  # Output: 7",,,
BaselineNaive,gcd,PASS,"def gcd(a, b):
    if b == 0:
        return a
    else:
        return gcd(b, a % b)


""""""
Input:
    a: A nonnegative int
    b: A nonnegative int


Greatest Common Divisor

Precondition:
    isinstance(a, int) and isinstance(b, int)

Output:
    The greatest int that divides evenly into a and b

Example:
    >>> gcd(35, 21)
    7

""""""",,,
ArcaneAgent,get_factors,PASS,"def get_factors(n):
    def factorize(n):
        factors = []
        for i in range(2, int(n ** 0.5) + 1):
            while n % i == 0:
                factors.append(i)
                n //= i
        if n > 1:
            factors.append(n)
        return factors

    if n <= 1:
        return []

    return factorize(n)

# Examples
if __name__ == ""__main__"":
    print(get_factors(1))    # Output: []
    print(get_factors(100))  # Output: [2, 2, 5, 5]
    print(get_factors(101))  # Output: [101]",,,
BaselineAware,get_factors,PASS,"def get_factors_iterative(n):
    factors = []
    if n == 1:
        return factors

    for i in range(2, int(n ** 0.5) + 1):
        while n % i == 0:
            factors.append(i)
            n //= i

    if n > 1:
        factors.append(n)

    return factors


""""""
Prime Factorization

Factors an int using naive trial division.

Input:
    n: An int to factor

Output:
    A list of the prime factors of n in sorted order with repetition

Precondition:
    n >= 1

Examples:
    >>> get_factors_iterative(1)
    []
    >>> get_factors_iterative(100)
    [2, 2, 5, 5]
    >>> get_factors_iterative(101)
    [101]
""""""",,,
BaselineNaive,get_factors,PASS,"def get_factors(n):
    if n == 1:
        return []

    for i in range(2, int(n ** 0.5) + 1):
        if n % i == 0:
            return [i] + get_factors(n // i)

    return [n]

""""""
Prime Factorization

Factors an int using naive trial division.

Input:
    n: An int to factor

Output:
    A list of the prime factors of n in sorted order with repetition

Precondition:
    n >= 1

Examples:
    >>> get_factors(1)
    []
    >>> get_factors(100)
    [2, 2, 5, 5]
    >>> get_factors(101)
    [101]
""""""",,,
ArcaneAgent,hanoi,PASS,"from typing import List, Tuple, Dict

def get_auxiliary_peg(start: int, end: int) -> int:
    return 6 - start - end

memo: Dict[Tuple[int, int, int], List[Tuple[int, int]]] = {}

def hanoi(height: int, start: int = 1, end: int = 3) -> List[Tuple[int, int]]:
    if height == 0:
        return []
    
    if (height, start, end) in memo:
        return memo[(height, start, end)]
    
    auxiliary_peg = get_auxiliary_peg(start, end)
    steps = hanoi(height - 1, start, auxiliary_peg)
    steps.append((start, end))
    steps.extend(hanoi(height - 1, auxiliary_peg, end))
    
    memo[(height, start, end)] = steps
    return steps",,,
BaselineAware,hanoi,PASS,"from typing import List, Tuple
from functools import lru_cache

@lru_cache(maxsize=None)
def hanoi(height: int, start: int = 1, end: int = 3) -> List[Tuple[int, int]]:
    if height == 0:
        return []
    
    intermediate_peg = 6 - start - end
    return (
        hanoi(height - 1, start, intermediate_peg) +
        [(start, end)] +
        hanoi(height - 1, intermediate_peg, end)
    )

""""""
Towers of Hanoi
hanoi

An algorithm for solving the Towers of Hanoi puzzle. Three pegs exist, with a stack of differently-sized
disks beginning on one peg, ordered from smallest on top to largest on bottom. The goal is to move the
entire stack to a different peg via a series of steps. Each step must move a single disk from one peg to
another. At no point may a disk be placed on top of another smaller disk.

Input:
    height: The height of the initial stack of disks.
    start: The numbered peg where the initial stack resides.
    end: The numbered peg which the stack must be moved onto.

Preconditions:
    height >= 0
    start in (1, 2, 3)
    end in (1, 2, 3)

Output:
    An ordered list of pairs (a, b) representing the shortest series of steps (each step moving
    the top disk from peg a to peg b) that solves the puzzle.
""""""",,,
BaselineNaive,hanoi,PASS,"def hanoi(height, start=1, end=3):
    steps = []
    if height > 0:
        helper = ({1, 2, 3} - {start, end}).pop()
        steps.extend(hanoi(height - 1, start, helper))
        steps.append((start, end))
        steps.extend(hanoi(height - 1, helper, end))

    return steps


""""""
Towers of Hanoi
hanoi


An algorithm for solving the Towers of Hanoi puzzle.  Three pegs exist, with a stack of differently-sized
disks beginning on one peg, ordered from smallest on top to largest on bottom.  The goal is to move the
entire stack to a different peg via a series of steps.  Each step must move a single disk from one peg to
another. At no point may a disk be placed on top of another smaller disk.

Input:
    height: The height of the initial stack of disks.
    start: The numbered peg where the initial stack resides.
    end: The numbered peg which the stack must be moved onto.

Preconditions:
    height >= 0
    start in (1, 2, 3)
    end in (1, 2, 3)

Output:
    An ordered list of pairs (a, b) representing the shortest series of steps (each step moving
    the top disk from peg a to peg b) that solves the puzzle.
""""""",,,
ArcaneAgent,is_valid_parenthesization,PASS,"def is_valid_parenthesization(parens):
    """"""
    Determines if a string of parentheses is properly nested using a stack.

    Args:
        parens (str): A string consisting only of '(' and ')'.

    Returns:
        bool: True if the parentheses are properly nested, False otherwise.

    Raises:
        ValueError: If the input contains characters other than '(' and ')'.

    Examples:
        >>> is_valid_parenthesization('((()()))()')
        True
        >>> is_valid_parenthesization(')()(')
        False
    """"""
    if not all(paren in '()' for paren in parens):
        raise ValueError(""Input must only contain '(' and ')' characters."")

    stack = []
    for paren in parens:
        if paren == '(':
            stack.append(paren)
        else:
            if not stack:
                return False
            stack.pop()

    return not stack",,,
BaselineAware,is_valid_parenthesization,PASS,"def is_valid_parenthesization(parens):
    depth = 0
    for paren in parens:
        depth += 1 if paren == '(' else -1
        if depth < 0:
            return False

    return depth == 0


""""""
Nested Parens
Input:
    parens: A string of parentheses

Precondition:
    all(paren in '()' for paren in parens)

Output:
    Whether the parentheses are properly nested

Examples:
    >>> is_valid_parenthesization('((()()))()')
    True
    >>> is_valid_parenthesization(')()(')
    False
""""""",,,
BaselineNaive,is_valid_parenthesization,PASS,"def is_valid_parenthesization(parens):
    depth = 0
    for paren in parens:
        if paren == '(':
            depth += 1
        else:
            depth -= 1
            if depth < 0:
                return False

    return depth == 0


""""""
Nested Parens
Input:
    parens: A string of parentheses

Precondition:
    all(paren in '()' for paren in parens)

Output:
    Whether the parentheses are properly nested

Examples:
    >>> is_valid_parenthesization('((()()))()')
    True
    >>> is_valid_parenthesization(')()(')
    False
""""""",,,
ArcaneAgent,kheapsort,PASS,"import heapq
from typing import List, Generator

def kheapsort(arr: List[int], k: int) -> Generator[int, None, None]:
    """"""
    Sorts an almost-sorted array using a k-sized heap.

    Args:
        arr (List[int]): The list of integers to sort.
        k (int): The maximum displacement of an element from its sorted position.

    Yields:
        int: The next element in sorted order.

    Raises:
        ValueError: If k is negative or arr is not a list of unique integers.
    """"""
    if not isinstance(arr, list) or len(arr) != len(set(arr)):
        raise ValueError(""Input array must be a list of unique integers."")
    if k < 0:
        raise ValueError(""k must be a non-negative integer."")

    if k == 0:
        yield from arr
        return

    heap = arr[:k]
    heapq.heapify(heap)

    for x in arr[k:]:
        yield heapq.heappushpop(heap, x)

    while heap:
        yield heapq.heappop(heap)",,,
BaselineAware,kheapsort,PASS,"import heapq
from typing import List, Generator

def kheapsort(arr: List[int], k: int) -> Generator[int, None, None]:
    """"""
    K-Heapsort

    Sorts an almost-sorted array, wherein every element is no more than k units from its sorted position, in O(n log k) time.

    Parameters:
    - arr: List[int] - A list of unique integers.
    - k: int - Maximum displacement of an element in arr from its final sorted location.

    Returns:
    - Generator[int, None, None] - A generator yielding the elements of arr in sorted order.

    Raises:
    - ValueError: If the input array is empty or k is negative.

    Example:
    >>> list(kheapsort([3, 2, 1, 5, 4], 2))
    [1, 2, 3, 4, 5]
    """"""
    def initialize_heap(arr: List[int], k: int) -> List[int]:
        heap = arr[:min(k, len(arr))]
        heapq.heapify(heap)
        return heap

    if not arr or k < 0:
        raise ValueError(""Array must not be empty and k must be non-negative."")
    
    if k == 0:
        yield from arr
        return

    min_heap = initialize_heap(arr, k)

    for x in arr[k:]:
        yield heapq.heappushpop(min_heap, x)

    while min_heap:
        yield heapq.heappop(min_heap)",,,
BaselineNaive,kheapsort,PASS,"def kheapsort(arr, k):
    import heapq

    heap = arr[:k+1]
    heapq.heapify(heap)

    for x in arr[k+1:]:
        yield heapq.heappushpop(heap, x)

    while heap:
        yield heapq.heappop(heap)


""""""
K-Heapsort
k-heapsort

Sorts an almost-sorted array, wherein every element is no more than k units from its sorted position, in O(n log k) time.

Input:
    arr: A list of ints
    k: an int indicating the maximum displacement of an element in arr from its final sorted location

Preconditions:
    The elements of arr are unique.
    Each element in arr is at most k places from its sorted position.

Output:
    A generator that yields the elements of arr in sorted order

Example:
    >>> list(kheapsort([3, 2, 1, 5, 4], 2))
    [1, 2, 3, 4, 5]
    >>> list(kheapsort([5, 4, 3, 2, 1], 4))
    [1, 2, 3, 4, 5]
    >>> list(kheapsort([1, 2, 3, 4, 5], 0))
    [1, 2, 3, 4, 5]
""""""",,,
ArcaneAgent,knapsack,FAIL_TIMEOUT,,,,Test run exceeded 60-second timeout (potential infinite loop).
BaselineAware,knapsack,FAIL_TIMEOUT,,,,Test run exceeded 60-second timeout (potential infinite loop).
BaselineNaive,knapsack,FAIL_TIMEOUT,,,,Test run exceeded 60-second timeout (potential infinite loop).
ArcaneAgent,kth,PASS,"import random

def kth(arr, k):
    if len(arr) == 1:
        return arr[0]

    pivot_index = random.randint(0, len(arr) - 1)
    pivot = arr[pivot_index]

    below = [x for x in arr if x < pivot]
    above = [x for x in arr if x > pivot]

    num_less = len(below)
    num_lessoreq = len(arr) - len(above)

    if k < num_less:
        return kth(below, k)
    elif k >= num_lessoreq:
        return kth(above, k - num_lessoreq)
    else:
        return pivot

# Example usage:
# arr = [3, 1, 2, 4, 5]
# k = 2
# print(kth(arr, k))  # Output should be 3, the 3rd smallest element",,,
BaselineAware,kth,PASS,"def partition(arr, left, right, pivot_index):
    pivot_value = arr[pivot_index]
    arr[pivot_index], arr[right] = arr[right], arr[pivot_index]
    store_index = left

    for i in range(left, right):
        if arr[i] < pivot_value:
            arr[i], arr[store_index] = arr[store_index], arr[i]
            store_index += 1

    arr[store_index], arr[right] = arr[right], arr[store_index]
    return store_index

def kth(arr, k):
    left, right = 0, len(arr) - 1

    while left <= right:
        pivot_index = left
        pivot_index = partition(arr, left, right, pivot_index)

        if k == pivot_index:
            return arr[k]
        elif k < pivot_index:
            right = pivot_index - 1
        else:
            left = pivot_index + 1

    raise ValueError(""k is out of bounds"")

# Example usage:
if __name__ == ""__main__"":
    arr = [3, 1, 2, 4, 5]
    k = 2
    print(f""The {k}-th smallest element is: {kth(arr, k)}"")",,,
BaselineNaive,kth,PASS,"def kth(arr, k):
    pivot = arr[0]
    below = [x for x in arr if x < pivot]
    above = [x for x in arr if x > pivot]
    pivots = [x for x in arr if x == pivot]

    num_less = len(below)
    num_lessoreq = num_less + len(pivots)

    if k < num_less:
        return kth(below, k)
    elif k >= num_lessoreq:
        return kth(above, k - num_lessoreq)
    else:
        return pivot

""""""
QuickSelect

This is an efficient equivalent to sorted(arr)[k].

Input:
    arr: A list of ints
    k: An int

Precondition:
    0 <= k < len(arr)

Output:
    The kth-lowest element of arr (0-based)
""""""",,,
ArcaneAgent,lcs_length,PASS,"def lcs_length(s, t):
    if not s or not t:
        return 0

    m, n = len(s), len(t)
    dp = [[0] * (n + 1) for _ in range(m + 1)]
    max_length = 0

    for i in range(1, m + 1):
        for j in range(1, n + 1):
            if s[i - 1] == t[j - 1]:
                dp[i][j] = dp[i - 1][j - 1] + 1
                max_length = max(max_length, dp[i][j])

    return max_length

# Example usage
if __name__ == ""__main__"":
    print(lcs_length('witch', 'sandwich'))  # Output: 2
    print(lcs_length('meow', 'homeowner'))  # Output: 4",,,
BaselineAware,lcs_length,PASS,"def lcs_length(s, t):
    if not s or not t:
        return 0

    m, n = len(s), len(t)
    dp = [[0] * (n + 1) for _ in range(m + 1)]
    max_length = 0

    for i in range(1, m + 1):
        for j in range(1, n + 1):
            if s[i - 1] == t[j - 1]:
                dp[i][j] = dp[i - 1][j - 1] + 1
                max_length = max(max_length, dp[i][j])

    return max_length

# Example usage
if __name__ == ""__main__"":
    print(lcs_length('witch', 'sandwich'))  # Output: 2
    print(lcs_length('meow', 'homeowner'))  # Output: 4",,,
BaselineNaive,lcs_length,PASS,"def lcs_length(s, t):
    from collections import defaultdict

    dp = defaultdict(int)

    max_length = 0

    for i in range(len(s)):
        for j in range(len(t)):
            if s[i] == t[j]:
                if i == 0 or j == 0:
                    dp[i, j] = 1
                else:
                    dp[i, j] = dp[i - 1, j - 1] + 1
                max_length = max(max_length, dp[i, j])

    return max_length



""""""
Longest Common Substring
longest-common-substring

Input:
    s: a string
    t: a string

Output:
    Length of the longest substring common to s and t

Example:
    >>> lcs_length('witch', 'sandwich')
    2
    >>> lcs_length('meow', 'homeowner')
    4
""""""",,,
ArcaneAgent,levenshtein,FAIL_TIMEOUT,,,,Test run exceeded 60-second timeout (potential infinite loop).
BaselineAware,levenshtein,FAIL_TIMEOUT,,,,Test run exceeded 60-second timeout (potential infinite loop).
BaselineNaive,levenshtein,FAIL_TIMEOUT,,,,Test run exceeded 60-second timeout (potential infinite loop).
ArcaneAgent,lis,PASS,"import bisect

class LongestIncreasingSubsequence:
    def __init__(self, arr):
        self.arr = arr

    def calculate(self):
        if not self.arr:
            return 0

        subsequence_ends = []

        for value in self.arr:
            pos = bisect.bisect_left(subsequence_ends, value)
            if pos == len(subsequence_ends):
                subsequence_ends.append(value)
            else:
                subsequence_ends[pos] = value

        return len(subsequence_ends)

# Usage
def lis(arr):
    lis_calculator = LongestIncreasingSubsequence(arr)
    return lis_calculator.calculate()

""""""
Longest Increasing Subsequence
longest-increasing-subsequence

Input:
    arr: A sequence of ints

Precondition:
    The ints in arr are unique

Output:
    The length of the longest monotonically increasing subsequence of arr

Example:
    >>> lis([4, 1, 5, 3, 7, 6, 2])
    3
""""""",,,
BaselineAware,lis,PASS,"def lis(arr):
    if not arr:
        return 0

    from bisect import bisect_left

    dp = []

    for val in arr:
        pos = bisect_left(dp, val)
        if pos == len(dp):
            dp.append(val)
        else:
            dp[pos] = val

    return len(dp)

""""""
This approach uses a dynamic programming array `dp` to store the smallest possible tail value for all increasing subsequences of different lengths. The `bisect_left` function is used to find the position to replace or extend the `dp` array, ensuring the sequence remains increasing. This method has a time complexity of O(n log n).
""""""

# Example usage
if __name__ == ""__main__"":
    example_arr = [4, 1, 5, 3, 7, 6, 2]
    print(lis(example_arr))  # Output: 3",,,
BaselineNaive,lis,PASS,"def lis(arr):
    ends = {}
    longest = 0

    for i, val in enumerate(arr):
        prefix_lengths = [j for j in range(1, longest + 1) if arr[ends[j]] < val]

        length = max(prefix_lengths) if prefix_lengths else 0

        if length == longest or length + 1 not in ends or val < arr[ends[length + 1]]:
            ends[length + 1] = i
            longest = max(longest, length + 1)

    return longest

""""""
Longest Increasing Subsequence
longest-increasing-subsequence

Input:
    arr: A sequence of ints

Precondition:
    The ints in arr are unique

Output:
    The length of the longest monotonically increasing subsequence of arr

Example:
    >>> lis([4, 1, 5, 3, 7, 6, 2])
    3
""""""",,,
ArcaneAgent,longest_common_subsequence,PASS,"def longest_common_subsequence(a, b):
    if len(a) < len(b):
        a, b = b, a

    previous = [''] * (len(b) + 1)
    current = [''] * (len(b) + 1)

    for i in range(1, len(a) + 1):
        for j in range(1, len(b) + 1):
            if a[i - 1] == b[j - 1]:
                current[j] = previous[j - 1] + a[i - 1]
            else:
                current[j] = max(previous[j], current[j - 1], key=len)
        previous, current = current, previous

    return previous[len(b)]

# Example usage
if __name__ == ""__main__"":
    result = longest_common_subsequence('headache', 'pentadactyl')
    print(result)  # Output: 'eadac'",,,
BaselineAware,longest_common_subsequence,PASS,"def longest_common_subsequence(a, b):
    m, n = len(a), len(b)
    previous = [''] * (n + 1)
    current = [''] * (n + 1)

    for i in range(1, m + 1):
        for j in range(1, n + 1):
            if a[i - 1] == b[j - 1]:
                current[j] = previous[j - 1] + a[i - 1]
            else:
                current[j] = max(previous[j], current[j - 1], key=len)
        previous, current = current, [''] * (n + 1)

    return previous[n]

# Example usage
if __name__ == ""__main__"":
    result = longest_common_subsequence('headache', 'pentadactyl')
    print(result)  # Output: 'eadac'",,,
BaselineNaive,longest_common_subsequence,PASS,"def longest_common_subsequence(a, b):
    if not a or not b:
        return ''

    elif a[0] == b[0]:
        return a[0] + longest_common_subsequence(a[1:], b[1:])

    else:
        return max(
            longest_common_subsequence(a, b[1:]),
            longest_common_subsequence(a[1:], b),
            key=len
        )



""""""
Longest Common Subsequence


Calculates the longest subsequence common to the two input strings. (A subsequence is any sequence of letters in the same order
they appear in the string, possibly skipping letters in between.)

Input:
    a: The first string to consider.
    b: The second string to consider.

Output:
    The longest string which is a subsequence of both strings. (If multiple subsequences of equal length exist, either is OK.)

Example:
    >>> longest_common_subsequence('headache', 'pentadactyl')
    'eadac'
""""""",,,
ArcaneAgent,max_sublist_sum,PASS,"def max_sublist_sum(arr):
    if not arr:
        return 0  # Return 0 for an empty array

    max_ending_here = 0
    max_so_far = arr[0]  # Start with the first element

    for x in arr:
        max_ending_here = max_ending_here + x
        max_so_far = max(max_so_far, max_ending_here)
        if max_ending_here < 0:
            max_ending_here = 0

    return max_so_far


""""""
Max Sublist Sum
max-sublist-sum

Efficient equivalent to max(sum(arr[i:j]) for 0 <= i <= j <= len(arr))

Algorithm source: WordAligned.org by Thomas Guest


Input:
    arr: A list of ints

Output:
    The maximum sublist sum

Example:
    >>> max_sublist_sum([4, -5, 2, 1, -1, 3])
    5
""""""",,,
BaselineAware,max_sublist_sum,PASS,"def max_sublist_sum(arr):
    if not arr:
        return 0  # Handle empty array case

    max_ending_here = 0
    max_so_far = float('-inf')
    max_element = float('-inf')

    for x in arr:
        max_ending_here = max_ending_here + x
        max_so_far = max(max_so_far, max_ending_here)
        if max_ending_here < 0:
            max_ending_here = 0
        max_element = max(max_element, x)

    return max_so_far if max_so_far > 0 else max_element

# Example usage
if __name__ == ""__main__"":
    print(max_sublist_sum([4, -5, 2, 1, -1, 3]))  # Output: 5
    print(max_sublist_sum([-4, -5, -2, -1, -3]))  # Output: -1",,,
BaselineNaive,max_sublist_sum,PASS,"def max_sublist_sum(arr):
    max_ending_here = 0
    max_so_far = float('-inf')  # Initialize to negative infinity to handle all negative lists

    for x in arr:
        max_ending_here = max(x, max_ending_here + x)  # Start new sublist if current element is greater
        max_so_far = max(max_so_far, max_ending_here)

    return max_so_far


""""""
Max Sublist Sum
max-sublist-sum

Efficient equivalent to max(sum(arr[i:j]) for 0 <= i <= j <= len(arr))

Algorithm source: WordAligned.org by Thomas Guest


Input:
    arr: A list of ints

Output:
    The maximum sublist sum

Example:
    >>> max_sublist_sum([4, -5, 2, 1, -1, 3])
    5
""""""",,,
ArcaneAgent,mergesort,PASS,"from typing import List

class MergeSort:
    @staticmethod
    def merge(left: List[int], right: List[int]) -> List[int]:
        """"""Merge two sorted lists into a single sorted list.""""""
        result = []
        i = 0
        j = 0
        while i < len(left) and j < len(right):
            if left[i] <= right[j]:
                result.append(left[i])
                i += 1
            else:
                result.append(right[j])
                j += 1
        result.extend(left[i:] or right[j:])
        return result

    @staticmethod
    def sort(arr: List[int]) -> List[int]:
        """"""Sorts an array of integers using the merge sort algorithm.""""""
        if len(arr) < 2:
            return arr
        middle = len(arr) // 2
        left = MergeSort.sort(arr[:middle])
        right = MergeSort.sort(arr[middle:])
        return MergeSort.merge(left, right)

# Usage
if __name__ == ""__main__"":
    sorted_array = MergeSort.sort([3, 1, 4, 1, 5, 9, 2, 6, 5, 3, 5])
    print(sorted_array)",,,
BaselineAware,mergesort,PASS,"from typing import List

def merge(left: List[int], right: List[int]) -> List[int]:
    """"""
    Merges two sorted lists into a single sorted list.
    """"""
    result = []
    i = 0
    j = 0
    while i < len(left) and j < len(right):
        if left[i] <= right[j]:
            result.append(left[i])
            i += 1
        else:
            result.append(right[j])
            j += 1
    result.extend(left[i:] or right[j:])
    return result

def mergesort(arr: List[int]) -> List[int]:
    """"""
    Sorts a list of integers using the merge sort algorithm.
    """"""
    if not isinstance(arr, list) or not all(isinstance(x, int) for x in arr):
        raise ValueError(""Input must be a list of integers"")

    if len(arr) <= 1:
        return arr

    middle = len(arr) // 2
    left = mergesort(arr[:middle])
    right = mergesort(arr[middle:])
    return merge(left, right)",,,
BaselineNaive,mergesort,PASS,"def mergesort(arr):
    def merge(left, right):
        result = []
        i = 0
        j = 0
        while i < len(left) and j < len(right):
            if left[i] <= right[j]:
                result.append(left[i])
                i += 1
            else:
                result.append(right[j])
                j += 1
        result.extend(left[i:])
        result.extend(right[j:])
        return result

    if len(arr) <= 1:
        return arr
    else:
        middle = len(arr) // 2
        left = mergesort(arr[:middle])
        right = mergesort(arr[middle:])
        return merge(left, right)

""""""
Merge Sort

Input:
    arr: A list of ints

Output:
    The elements of arr in sorted order
""""""",,,
